unitid,institution name,year,HD2019.State abbreviation,HD2019.Sector of institution,HD2019.Historically Black College or University,DRVC2019.Associate's degree,DRVC2019.Bachelor's degree,DRVC2019.Master's degree,DRVC2019.Doctor's degree - research/scholarship,DRVC2019.Doctor's degree - professional practice,DRVC2019.Doctor's degree - other,DRVC2019.Certificates of less than 1-year,DRVC2019.Certificates of 1 but less than 2-years,DRVC2019.Certificates of 2 but less than 4-years,DRVC2019.Postbaccalaureate certificates,DRVC2019.Post-master's certificates,DRVC2019.Number of students receiving an Associate's degree,DRVC2019.Number of students receiving a Bachelor's degree,DRVC2019.Number of students receiving a Master's degree,DRVC2019.Number of students receiving a Doctor's degree,DRVC2019.Number of students receiving a certificate of less than 1-year,DRVC2019.Number of students receiving a certificate of 1 but less than 4-years,DRVC2019.Number of students receiving a Postbaccalaureate or Post-master's certificate
491631,Women's Institute of Torah Seminary,2019,Maryland,"Private not-for-profit, 4-year or above",No,0,45,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0
234155,Virginia State University,2019,Virginia,"Public, 4-year or above",Yes,0,672,113,19,0,0,0,0,0,20,0,0,672,113,19,0,0,20
231624,William & Mary,2019,Virginia,"Public, 4-year or above",No,0,1653,737,85,230,0,0,0,0,9,7,0,1653,734,315,0,0,16
163912,St. Mary's College of Maryland,2019,Maryland,"Public, 4-year or above",No,0,392,29,0,0,0,0,0,0,0,0,0,392,29,0,0,0,0
200590,ETI Technical College,2019,Ohio,"Private for-profit, 2-year",No,11,,,,,,0,91,0,,,11,,,,0,91,
479062,MotoRing Technical Training Institute,2019,Rhode Island,"Private for-profit, less-than 2-year",No,0,,,,,,0,43,0,,,0,,,,0,43,
444291,Empire Beauty School-Owings Mills,2019,Maryland,"Private for-profit, less-than 2-year",No,0,,,,,,0,34,0,,,0,,,,0,34,
450298,Strayer University-Delaware,2019,Delaware,"Private for-profit, 4-year or above",No,13,31,12,0,0,0,0,0,0,0,0,13,31,12,0,0,0,0
232919,Tidewater Tech-Trades,2019,Virginia,"Private for-profit, less-than 2-year",No,0,,,,,,262,143,0,,,0,,,,262,143,
457891,Elevate Salon Institute,2019,Ohio,"Private for-profit, 2-year",No,,,,,,,,,,,,,,,,,,
162609,Garrett College,2019,Maryland,"Public, 2-year",No,102,,,,,,1,0,0,,,102,,,,1,0,
203535,Kenyon College,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,434,0,0,0,0,0,0,0,0,0,0,434,0,0,0,0,0
166124,College of the Holy Cross,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,698,0,0,0,0,0,0,0,0,0,0,698,0,0,0,0,0
160940,Purdue University Global-Lewiston,2019,Maine,"Public, 4-year or above",No,,,,,,,,,,,,,,,,,,
162283,Coppin State University,2019,Maryland,"Public, 4-year or above",Yes,0,378,66,0,4,0,0,0,0,0,0,0,378,66,4,0,0,0
162168,Chesapeake College,2019,Maryland,"Public, 2-year",No,243,,,,,,50,8,0,,,243,,,,50,8,
455798,Oxford Academy of Hair Design Inc,2019,Connecticut,"Private for-profit, less-than 2-year",No,0,,,,,,29,25,0,,,0,,,,29,25,
202453,Dayton Barber College,2019,Ohio,"Private for-profit, 2-year",No,0,,,,,,0,3,18,,,0,,,,0,21,
129923,Lincoln Technical Institute-New Britain,2019,Connecticut,"Private for-profit, less-than 2-year",No,0,,,,,,0,255,0,,,0,,,,0,255,
201867,Cincinnati College of Mortuary Science,2019,Ohio,"Private not-for-profit, 4-year or above",No,66,48,0,0,0,0,0,0,0,0,0,66,48,0,0,0,0,0
164474,Andover Newton Theological School,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,,,,,,,,,,,,,,,,,,
493521,Global Tech College,2019,Ohio,"Private for-profit, 2-year",No,0,,,,,,0,6,0,,,0,,,,0,6,
232265,Hampton University,2019,Virginia,"Private not-for-profit, 4-year or above",Yes,0,640,141,14,82,0,0,0,0,0,5,0,640,141,96,0,0,5
161518,Saint Joseph's College of Maine,2019,Maine,"Private not-for-profit, 4-year or above",No,4,311,196,0,0,0,45,0,0,5,16,4,311,196,0,45,0,21
377652,Valley College-Beckley,2019,West Virginia,"Private for-profit, less-than 2-year",No,0,,,,,,0,75,0,,,0,,,,0,75,
233329,Fortis College-Norfolk,2019,Virginia,"Private for-profit, 2-year",No,7,,,,,,12,92,0,,,7,,,,12,92,
166045,Hebrew College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,0,29,0,0,0,0,0,0,0,2,0,0,29,0,0,0,2
449719,Northcoast Medical Training Academy,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,5,91,0,,,0,,,,5,91,
430795,Carver Career Center,2019,West Virginia,"Public, 2-year",No,13,,,,,,17,46,3,,,13,,,,17,49,
230852,Champlain College,2019,Vermont,"Private not-for-profit, 4-year or above",No,50,776,381,0,0,0,360,0,0,233,0,50,764,380,0,307,0,229
448983,Harris School of Business-Linwood Campus,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,18,60,0,,,0,,,,18,60,
206279,Union Institute & University,2019,Ohio,"Private not-for-profit, 4-year or above",No,0,403,63,24,0,0,0,0,0,3,0,0,403,63,24,0,0,3
202161,Bradford School,2019,Ohio,"Private for-profit, 2-year",No,175,,,,,,0,14,0,,,175,,,,0,14,
453455,American National University-Dayton,2019,Ohio,"Private for-profit, 2-year",No,,,,,,,,,,,,,,,,,,
163046,Loyola University Maryland,2019,Maryland,"Private not-for-profit, 4-year or above",No,0,882,802,10,11,0,0,0,0,0,1,0,882,802,21,0,0,1
161545,Southern Maine Community College,2019,Maine,"Public, 2-year",No,751,,,,,,0,57,0,,,741,,,,0,50,
163453,Morgan State University,2019,Maryland,"Public, 4-year or above",Yes,0,1091,248,71,0,0,0,0,0,1,0,0,1089,248,71,0,0,1
183877,Rowan College at Burlington County,2019,New Jersey,"Public, 2-year",No,1522,,,,,,0,30,0,,,1406,,,,0,30,
204699,Ohio State University-Marion Campus,2019,Ohio,"Public, 4-year or above",No,146,79,0,0,0,0,0,0,0,0,0,146,79,0,0,0,0,0
432348,Appalachian School of Law,2019,Virginia,"Private not-for-profit, 4-year or above",No,0,0,59,0,31,0,0,0,0,0,0,0,0,59,31,0,0,0
204802,Ohio University-Eastern Campus,2019,Ohio,"Public, 4-year or above",No,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
201858,Cincinnati Christian University,2019,Ohio,"Private not-for-profit, 4-year or above",No,2,71,45,0,0,0,0,0,0,0,0,2,71,37,0,0,0,0
185721,Eastwick College-Nutley,2019,New Jersey,"Private for-profit, 2-year",No,116,,,,,,74,48,0,,,116,,,,74,48,
248934,ECPI University,2019,Virginia,"Private for-profit, 4-year or above",No,2031,1230,128,0,0,0,143,712,0,0,0,2018,1221,128,0,143,712,0
231095,Sterling College,2019,Vermont,"Private not-for-profit, 4-year or above",No,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
205443,Shawnee State University,2019,Ohio,"Public, 4-year or above",No,216,469,48,0,0,0,0,2,0,0,0,214,465,48,0,0,2,0
231280,Paul Mitchell the School-Roanoke,2019,Virginia,"Private for-profit, less-than 2-year",No,0,,,,,,0,35,0,,,0,,,,0,35,
444635,Orion Institute,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,42,14,0,,,0,,,,42,9,
237525,Marshall University,2019,West Virginia,"Public, 4-year or above",No,115,1662,868,26,206,0,9,0,0,70,63,115,1646,866,232,9,0,131
183974,Centenary University,2019,New Jersey,"Private not-for-profit, 4-year or above",No,24,351,181,8,0,0,8,0,0,3,0,24,330,181,8,8,0,3
232557,Liberty University,2019,Virginia,"Private not-for-profit, 4-year or above",No,1107,9138,8182,331,200,0,234,0,69,516,302,1101,9074,8150,531,232,69,798
184791,Rowan College of South Jersey Gloucester Campus,2019,New Jersey,"Public, 2-year",No,1178,,,,,,59,9,0,,,1176,,,,56,9,
167260,Nichols College,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,4,278,136,0,0,0,0,0,0,0,0,4,277,135,0,0,0,0
164915,Boston Graduate School of Psychoanalysis Inc,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,0,0,12,0,2,3,0,0,0,0,1,0,0,12,5,0,0,1
201539,Canton City Schools Adult Career and Technical Education,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,29,76,0,,,0,,,,29,76,
202222,Columbus State Community College,2019,Ohio,"Public, 2-year",No,2909,,,,,,2325,749,0,,,2882,,,,2001,711,
490106,Virginia University of Integrative Medicine,2019,Virginia,"Private not-for-profit, 4-year or above",No,0,0,45,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
204121,Moler Hollywood Beauty Academy,2019,Ohio,"Private for-profit, 2-year",No,0,,,,,,0,20,0,,,0,,,,0,20,
166027,Harvard University,2019,Massachusetts,"Private not-for-profit, 4-year or above",No,3,1824,4925,771,802,0,0,0,0,85,16,3,1824,4877,1572,0,0,101
369905,Bryant & Stratton College-Solon,2019,Ohio,"Private for-profit, 4-year or above",No,,,,,,,,,,,,,,,,,,
450067,Fortis College-Cincinnati,2019,Ohio,"Private for-profit, 2-year",No,11,,,,,,0,179,0,,,11,,,,0,179,
480523,Ross Medical Education Center-Dayton,2019,Ohio,"Private for-profit, less-than 2-year",No,0,,,,,,0,57,0,,,0,,,,0,57,
436030,Hair Academy II,2019,Maryland,"Private for-profit, less-than 2-year",No,0,,,,,,9,58,0,,,0,,,,9,58,
131113,Wilmington University,2019,Delaware,"Private not-for-profit, 4-year or above",No,22,1843,1968,127,0,0,0,0,0,0,0,22,1842,1940,127,0,0,0
206604,Wright State University-Main Campus,2019,Ohio,"Public, 4-year or above",No,0,2243,1108,39,141,5,66,2,0,136,3,0,2215,1105,185,66,2,132
451927,Patrick Henry College,2019,Virginia,"Private not-for-profit, 4-year or above",No,0,57,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0
204857,Ohio University-Main Campus,2019,Ohio,"Public, 4-year or above",No,210,7011,1905,140,281,0,740,0,0,44,0,210,6920,1880,421,626,0,38
232186,George Mason University,2019,Virginia,"Public, 4-year or above",No,0,5734,2969,293,173,0,0,0,0,691,0,0,5710,2964,466,0,0,687
160977,Bates College,2019,Maine,"Private not-for-profit, 4-year or above",No,0,469,0,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0
129774,Mitchell College,2019,Connecticut,"Private not-for-profit, 4-year or above",No,17,108,0,0,0,0,0,0,0,0,0,17,108,0,0,0,0,0
237561,Monongalia County Technical Education Center,2019,West Virginia,"Public, less-than 2-year",No,0,,,,,,0,51,0,,,0,,,,0,51,
183141,Nashua Community College,2019,New Hampshire,"Public, 2-year",No,261,,,,,,36,10,2,,,261,,,,33,12,
462044,Institute for Doctoral Studies in the Visual Arts,2019,Maine,"Private not-for-profit, 4-year or above",No,0,0,4,7,0,0,0,0,0,0,0,0,0,4,7,0,0,0
446224,Eastern School of Acupuncture and Traditional Medicine,2019,New Jersey,"Private for-profit, 4-year or above",No,0,0,12,0,0,0,0,0,4,0,0,0,0,12,0,0,4,0
204769,The Spa School,2019,Ohio,"Private for-profit, 2-year",No,0,,,,,,101,20,13,,,0,,,,101,33,
182980,New England College,2019,New Hampshire,"Private not-for-profit, 4-year or above",No,28,350,289,0,0,0,0,0,0,0,8,28,350,289,0,0,0,8
232089,Ferrum College,2019,Virginia,"Private not-for-profit, 4-year or above",No,0,209,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0
165750,Rob Roy Academy-Fall River,2019,Massachusetts,"Private for-profit, less-than 2-year",No,0,,,,,,0,25,0,,,0,,,,0,25,
420440,York County Community College,2019,Maine,"Public, 2-year",No,196,,,,,,16,0,0,,,193,,,,16,0,
204255,Zane State College,2019,Ohio,"Public, 2-year",No,372,,,,,,49,63,0,,,341,,,,40,56,
231086,Southern Vermont College,2019,Vermont,"Private not-for-profit, 4-year or above",No,,,,,,,,,,,,,,,,,,
237987,West Virginia Junior College-Charleston,2019,West Virginia,"Private for-profit, 2-year",No,46,,,,,,0,8,0,,,46,,,,0,8,
186052,Pennco Tech-Blackwood,2019,New Jersey,"Private for-profit, 2-year",No,0,,,,,,55,272,47,,,0,,,,55,319,
457624,Southern Worcester County Regional Vocational School District,2019,Massachusetts,"Public, less-than 2-year",No,0,,,,,,0,27,0,,,0,,,,0,27,
418199,Penta County Joint Vocational School,2019,Ohio,"Public, less-than 2-year",No,0,,,,,,23,0,0,,,0,,,,23,0,
461865,Best Care College,2019,New Jersey,"Private for-profit, 2-year",No,0,,,,,,40,18,0,,,0,,,,40,18,
490319,Yeshiva Bais Aharon,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
490188,Elite Institute of Cosmetology,2019,Ohio,"Private for-profit, 2-year",No,,,,,,,,,,,,,,,,,,
234207,Washington and Lee University,2019,Virginia,"Private not-for-profit, 4-year or above",No,0,435,0,0,110,0,0,0,0,0,0,0,434,0,110,0,0,0
405872,Carroll Community College,2019,Maryland,"Public, 2-year",No,502,,,,,,17,4,0,,,499,,,,17,4,
485582,MKG Beauty & Business,2019,Rhode Island,"Private for-profit, less-than 2-year",No,0,,,,,,63,29,0,,,0,,,,63,29,
448600,Stautzenberger College-Brecksville,2019,Ohio,"Private for-profit, 2-year",No,108,,,,,,0,53,0,,,108,,,,0,53,
451398,Yeshiva Toras Chaim,2019,New Jersey,"Private not-for-profit, 4-year or above",No,0,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
185509,Mercer County Community College,2019,New Jersey,"Public, 2-year",No,881,,,,,,66,0,0,,,855,,,,66,0,
245625,Warren County Community College,2019,New Jersey,"Public, 2-year",No,232,,,,,,0,0,0,,,229,,,,0,0,
165024,Bridgewater State University,2019,Massachusetts,"Public, 4-year or above",No,0,2036,446,0,0,0,20,0,0,40,21,0,2036,446,0,20,0,61
233374,University of Richmond,2019,Virginia,"Private not-for-profit, 4-year or above",No,0,844,115,0,122,0,18,23,0,6,16,0,825,115,122,18,23,22
445638,Spa Tech Institute-Ipswich,2019,Massachusetts,"Private for-profit, less-than 2-year",No,0,,,,,,64,0,0,,,0,,,,64,0,
183655,Atlantic Cape Community College,2019,New Jersey,"Public, 2-year",No,644,,,,,,12,7,0,,,627,,,,12,6,
487676,The Temple Annapolis-A Paul Mitchell Partner School,2019,Maryland,"Private for-profit, less-than 2-year",No,0,,,,,,0,77,0,,,0,,,,0,77,
163578,Notre Dame of Maryland University,2019,Maryland,"Private not-for-profit, 4-year or above",No,0,201,323,12,46,0,0,0,0,12,7,0,201,323,58,0,0,19
231068,SIT Graduate Institute,2019,Vermont,"Private not-for-profit, 4-year or above",No,0,0,113,0,0,0,0,0,0,1,0,0,0,113,0,0,0,1
130110,Paier College of Art Inc,2019,Connecticut,"Private for-profit, 4-year or above",No,0,12,0,0,0,0,3,1,0,0,0,0,12,0,0,3,1,0
410964,EINE Inc,2019,Massachusetts,"Private for-profit, less-than 2-year",No,0,,,,,,29,7,0,,,0,,,,29,7,
201751,Chatfield College,2019,Ohio,"Private not-for-profit, 2-year",No,31,,,,,,0,0,0,,,31,,,,0,0,
129941,University of New Haven,2019,Connecticut,"Private not-for-profit, 4-year or above",No,38,1189,731,3,0,0,28,1,0,19,0,38,1069,726,3,28,1,19
455992,Vermont College of Fine Arts,2019,Vermont,"Private not-for-profit, 4-year or above",No,0,0,174,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0
490832,Ross College-Canton,2019,Ohio,"Private for-profit, 2-year",No,48,,,,,,0,55,0,,,48,,,,0,55,
232946,Northern Virginia Community College,2019,Virginia,"Public, 2-year",No,5273,,,,,,749,1576,0,,,5163,,,,697,1575,
368230,Empire Beauty School-Bloomfield,2019,New Jersey,"Private for-profit, less-than 2-year",No,0,,,,,,4,63,0,,,0,,,,4,63,
205054,Professional Skills Institute,2019,Ohio,"Private for-profit, 2-year",No,40,,,,,,0,193,0,,,40,,,,0,193,
164270,McDaniel College,2019,Maryland,"Private not-for-profit, 4-year or above",No,0,346,249,0,0,0,0,0,0,194,0,0,346,249,0,0,0,194
203526,Kent State University at Geauga,2019,Ohio,"Public, 4-year or above",No,229,11,0,0,0,0,1,0,0,0,0,228,11,0,0,1,0,0
438708,Eastern West Virginia Community and Technical College,2019,West Virginia,"Public, 2-year",No,46,,,,,,0,32,0,,,44,,,,0,28,
166805,Massachusetts School of Barbering,2019,Massachusetts,"Private for-profit, less-than 2-year",No,0,,,,,,0,40,0,,,0,,,,0,40,
203614,O C Collins Career Center,2019,Ohio,"Public, 2-year",No,0,,,,,,16,246,12,,,0,,,,16,258,
129154,Goodwin College,2019,Connecticut,"Private not-for-profit, 4-year or above",No,552,202,14,0,0,0,80,102,0,0,0,547,202,14,0,69,102,0
234119,Virginia School of Hair Design,2019,Virginia,"Private for-profit, less-than 2-year",No,0,,,,,,0,10,0,,,0,,,,0,10,
377661,Valley College-Martinsburg,2019,West Virginia,"Private for-profit, 4-year or above",No,91,0,0,0,0,0,0,214,0,0,0,91,0,0,0,0,214,0
232618,Centra College of Nursing,2019,Virginia,"Private not-for-profit, 4-year or above",No,92,18,0,0,0,0,0,40,0,0,0,92,18,0,0,0,40,0
166647,Massachusetts Bay Community College,2019,Massachusetts,"Public, 2-year",No,460,,,,,,179,39,0,,,455,,,,177,39,
237145,B M Spurr School of Practical Nursing,2019,West Virginia,"Private not-for-profit, less-than 2-year",No,0,,,,,,0,18,0,,,0,,,,0,18,
129428,Rensselaer at Hartford,2019,Connecticut,"Private not-for-profit, 4-year or above",No,0,0,24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
